id	nom	typeLibelle	typeCode	rangChallenges	milliardaireForbes	mediaType	mediaPeriodicite	mediaEchelle	commentaire	ACPMdiffusion	wikidataId
242	Groupe La Dépêche	Personne morale	2								Q3117468
243	La Dépêche du midi	Média	3			GPE	Quotidien	Régional		120579	Q742587
244	Le Petit Bleu	Média	3			GPE	Quotidien	Régional		6355	Q18750711
245	La Nouvelle République des Pyrénées	Média	3			GPE	Quotidien	Régional		26098	Q3211143
246	Le Villefranchois	Média	3			GPE	Hebdomadaire	Régional		5270	Q113541512
247	La Gazette du Comminges	Média	3			GPE	Hebdomadaire	Régional			Q21197930
248	Les Journaux du midi	Personne morale	2								Q3233440
249	Midi libre	Média	3			GPE	Quotidien	Régional		80675	Q1465340
250	L’Indépendant	Média	3			GPE	Quotidien	Régional		39500	Q2269524
251	Centre Presse Aveyron	Média	3			GPE	Quotidien	Régional		16236	Q2944865
252	Famille Lemoine	Personne physique	1								
253	Groupe Sud Ouest	Personne morale	2								Q3117568
254	Sud Ouest	Média	3			GPE	Quotidien	Régional		211419	Q2608774
255	Charente Libre	Média	3			GPE	Quotidien	Régional		28052	Q2957712
256	Dordogne Libre	Média	3			GPE	Quotidien	Régional		5266	Q16629779
257	Haute Saintonge	Média	3			GPE	Hebdomadaire	Régional			Q3128548
258	Haute Gironde	Média	3			GPE	Hebdomadaire	Régional		4839	
259	Le Résistant	Média	3			GPE	Hebdomadaire	Régional		6504	
260	L’Hebdo de Charente-Maritime	Média	3			GPE	Hebdomadaire	Régional		4567	
261	La Dépêche du Bassin	Média	3			GPE	Hebdomadaire	Régional		4251	Q3208484
262	Le Journal du Médoc	Média	3			GPE	Hebdomadaire	Régional			Q3223765
263	Pyrénées Presse	Personne morale	2								Q56317615
264	La République des Pyrénées	Média	3			GPE	Quotidien	Régional			Q3212590
265	L’Eclair	Média	3			GPE	Quotidien	Régional			Q51926334
266	Édouard Coudurier	Personne physique	1								
267	Groupe Télégramme	Personne morale	2								Q3117586
268	Le Télégramme	Média	3			GPE	Quotidien	Régional		176327	Q3088647
269	Le Poher	Média	3			GPE	Quotidien	Régional			Q3225712
270	Tébéo	Média	3			Télévision		Régional			Q3546461
271	Tébésud	Média	3			Télévision		Régional			Q3542644
272	Le Mensuel de Rennes	Média	3			GPE	Mensuel	Régional			Q3224489
273	Sept Jours à Brest	Média	3			GPE	Hebdomadaire	Régional			
274	Le Journal des entreprises	Média	3			GPE	Mensuel	Régional			Q3223759
275	Bretagne magazine	Média	3			GPE	Hebdomadaire	Régional			Q2924549
276	Ayant droit de Bernard Tapie	Personne physique	1								Q728645
277	Nethys	Personne morale	2								Q35306771
278	Publifin	Personne morale	2								Q16679217
279	Province de Liège	État	4								Q1127
280	Groupe La Provence	Personne morale	2								
281	Nice-Matin	Média	3			GPE	Quotidien	Régional		59770	Q203853
282	Corse Matin	Média	3			GPE	Quotidien	Régional		25167	Q1135428
283	La Provence	Média	3			GPE	Quotidien	Régional		75351	Q1799045
284	Jean-Louis Louvel	Personne physique	1								Q33137935
285	Société Normande d’Information et de Communication	Personne morale	2								Q86685793
286	Paris-Normandie	Média	3			GPE	Quotidien	Régional		36994	Q3365285
287	Havre Libre	Média	3			GPE	Quotidien	Régional			Q3223483
288	Le Progrès de Fécamp	Média	3			GPE	Quotidien	Régional			
289	Liberté Dimanche	Média	3			GPE	Hebdomadaire	Régional			Q3237828
290	Havre Dimanche	Média	3			GPE	Hebdomadaire	Régional			
291	Normandie Dimanche	Média	3			GPE	Hebdomadaire	Régional			
292	Philippe Hersant	Personne physique	1								Q3380014
293	Éditions Suisses Holding	Personne morale	2								
294	Groupe Hersant Média	Personne morale	2								Q1547743
295	Groupe Filanosa	Personne morale	2								
296	Rhône Média	Personne morale	2								
297	La Côte (Nyon)	Média	3					Suisse			Q592085
298	L’Express (Neuchâtel)	Média	3					Suisse			Q646229
299	L’Impartial (La Chaux-de-Fonds)	Média	3					Suisse			Q3204036
300	Le Nouvelliste	Média	3					Suisse			Q6507379
301	La Gazette de Martigny	Média	3					Suisse			
302	Le Journal de Sierre	Média	3					Suisse			Q3186844
303	France Antilles	Média	3			GPE	Quotidien	Régional			Q3080535
304	France Guyane	Média	3			GPE	Quotidien	Régional			Q3080539
305	Abdoul Cadjee	Personne physique	1								
306	Le Journal de l’Île de la Réunion	Média	3			GPE	Quotidien	Régional			Q3186848
307	Ariane de Rothschild	Personne physique	1	26							Q2861214
308	Lampsane Investissement SA	Personne morale	2								
309	Slate.fr	Média	3			Site					Q64003230
313	Atlantico.fr	Média	3			Site					Q2869404
314	Franck Julien	Personne physique	1	161							
315	Edi Invest	Personne morale	2								
316	Jean Christophe Tortora	Personne physique	1								Q33177408
317	Laurent Alexandre	Personne physique	1								Q15973233
318	Hima Groupe	Personne morale	2								
319	La Tribune	Média	3			Site					Q1799197
320	i24 News	Média	3			Télévision					Q13612085
321	Elle	Média	3			GPE	Hebdomadaire			39769	Q154020
322	Le Nouveau Magazine littéraire	Média	3			GPE	Mensuel				Q3224169
323	Madison Cox	Personne physique	1								Q30118169
324	Alain Weill	Personne physique	1								Q2830367
325	Groupe L’Opinion	Personne morale	2								
326	Ken Fisher	Personne physique	1		381						Q6390103
327	RMC Story	Média	3			Télévision			Gratuit		Q3346328
328	Nice-Matin	Personne morale	2								
329	Fonds de Dotation pour une Presse Indépendante	Personne morale	2								
330	Amber Capital	Personne morale	2								Q89345695
332	Var-Matin	Média	3			GPE	Quotidien	Régional		42070	Q3554661
333	Monaco-Matin	Média	3			GPE	Quotidien	Régional			Q3320078
334	NJJ	Personne morale	2								
335	Télé-Loisirs	Média	3			GPE	Hebdomadaire	National	Payant	510580	Q3546543
336	Gala	Média	3			GPE	Hebdomadaire	National	Payant	141293	
337	Voici	Média	3			GPE	Hebdomadaire	National	Payant	209605	Q3562152
338	Femme Actuelle	Média	3			GPE	Hebdomadaire	National	Payant	460531	Q3068228
339	National Geographic	Média	3			GPE	Mensuel	National	Payant	39769	
340	Geo	Média	3			GPE	Mensuel	National	Payant	129247	
341	Paris-Turf	Média	3			GPE		National	Payant		Q3365300
342	Fonds pour l'indépendance de la presse	Personne morale	2								
343	Télé 7 Jours	Média	3			GPE	Hebdomadaire	National	Payant	908618	Q3546531
344	La Première	Média	3			Télévision		National	Gratuit		
345	France Catholique	Média	3			GPE		National	Payant		Q3080786
346	Franc-Tireur	Média	3			GPE		National	Payant		Q111759466
347	Néon	Média	3			GPE		National	Payant		
